province,city,accumulated_confirmed,accumulated_suspected,accumulated_death,accumulated_recovered,time
重庆,涪陵区,3,0,0,0,2020/02/05
重庆,涪陵区,3,0,0,0,2020/02/06
重庆,沙坪坝区,2,0,0,0,2020/02/01
重庆,沙坪坝区,2,0,0,0,2020/02/02
重庆,沙坪坝区,2,0,0,0,2020/02/03
重庆,沙坪坝区,2,0,0,0,2020/02/04
重庆,沙坪坝区,2,0,0,0,2020/02/05
重庆,沙坪坝区,2,0,0,0,2020/02/06
重庆,城口县,1,0,0,0,2020/01/26
重庆,城口县,1,0,0,0,2020/01/27
重庆,城口县,1,0,0,0,2020/01/28
重庆,城口县,1,0,0,0,2020/01/29
重庆,城口县,1,0,0,0,2020/01/30
重庆,城口县,1,0,0,0,2020/01/31
重庆,城口县,1,0,0,0,2020/02/01
重庆,城口县,1,0,0,0,2020/02/02
重庆,城口县,2,0,0,0,2020/02/03
重庆,城口县,2,0,0,1,2020/02/04
重庆,城口县,2,0,0,0,2020/02/05
重庆,城口县,2,0,0,0,2020/02/06
重庆,黔江区,1,0,0,0,2020/01/28
重庆,黔江区,1,0,0,0,2020/01/29
重庆,黔江区,1,0,0,0,2020/01/30
重庆,黔江区,2,0,0,0,2020/01/31
重庆,黔江区,2,0,0,0,2020/02/01
重庆,黔江区,2,0,0,0,2020/02/02
重庆,黔江区,2,0,0,0,2020/02/03
重庆,黔江区,2,0,0,0,2020/02/04
重庆,黔江区,2,0,0,0,2020/02/05
重庆,黔江区,2,0,0,0,2020/02/06
重庆,彭水苗族土家族自治县,2,0,0,0,2020/02/04
重庆,彭水苗族土家族自治县,2,0,0,0,2020/02/05
重庆,彭水苗族土家族自治县,2,0,0,0,2020/02/06
重庆,秀山土家族苗族自治县,1,0,0,0,2020/01/26
重庆,秀山土家族苗族自治县,1,0,0,0,2020/01/27
重庆,秀山土家族苗族自治县,1,0,0,0,2020/01/28
重庆,秀山土家族苗族自治县,1,0,0,0,2020/01/29
重庆,秀山土家族苗族自治县,1,0,0,0,2020/01/30
重庆,秀山土家族苗族自治县,1,0,0,0,2020/01/31
重庆,秀山土家族苗族自治县,1,0,0,1,2020/02/01
重庆,秀山土家族苗族自治县,1,0,0,1,2020/02/02
重庆,秀山土家族苗族自治县,1,0,0,1,2020/02/03
重庆,秀山土家族苗族自治县,1,0,0,1,2020/02/04
重庆,秀山土家族苗族自治县,1,0,0,1,2020/02/05
重庆,秀山土家族苗族自治县,1,0,0,1,2020/02/06
重庆,酉阳土家族苗族自治县,1,0,0,0,2020/02/05
